motif,symbol,source
격자 바닥,행사,triples_relation
방구부채,교육,triples_relation
방구부채,장식,triples_relation
무용수,장식,triples_relation
관복 인물,장식,triples_relation
인물 군집,장식,triples_relation
연못,장식,triples_relation
기마 무장,교육,triples_relation
기마 무장,장식,triples_relation
여인,장식,triples_relation
삼목구,세화,triples_relation
사슴,세화,triples_relation
사슴,행사,triples_relation
호랑이,세화,triples_relation
까치,세화,triples_relation
용,세화,triples_relation
거북,세화,triples_relation
거북,장식,triples_relation
새끼 호랑이,세화,triples_relation
잉어,세화,triples_relation
불로초,세화,triples_relation
사슴,장식,triples_relation
새끼호랑이,세화,triples_relation
소나무,세화,triples_relation
바닥 새끼 호랑이,세화,triples_relation
둥글게 웅크린 새끼,세화,triples_relation
해치,장식,triples_relation
두루미,세화,triples_relation
두루미,장식,triples_relation
매,세화,triples_relation
호랑이 발,세화,triples_relation
거북이,세화,triples_relation
거북이,장식,triples_relation
괴석,세화,triples_relation
기린,세화,triples_relation
사당,행사,triples_relation
문자,교육,triples_relation
문자,행사,triples_relation
신대,교육,triples_relation
신대,행사,triples_relation
할미새,교육,triples_relation
신,교육,triples_relation
신,행사,triples_relation
어변성룡,교육,triples_relation
어변성룡,행사,triples_relation
치,교육,triples_relation
효,교육,triples_relation
효,행사,triples_relation
잉어,교육,triples_relation
용,장식,triples_relation
용,행사,triples_relation
오름,교육,triples_relation
오름,행사,triples_relation
염,교육,triples_relation
염,행사,triples_relation
매화,교육,triples_relation
두꺼비,장식,triples_relation
두꺼비,행사,triples_relation
문자도 문자,교육,triples_relation
문자도 문자,행사,triples_relation
의,교육,triples_relation
의,행사,triples_relation
물수리,교육,triples_relation
토끼,교육,triples_relation
흰기러기,교육,triples_relation
흰기러기,행사,triples_relation
용,교육,triples_relation
게,교육,triples_relation
게,행사,triples_relation
사당,교육,triples_relation
물수리,장식,triples_relation
물수리,행사,triples_relation
연꽃,교육,triples_relation
꽃,교육,triples_relation
치,장식,triples_relation
꾀꼬리,교육,triples_relation
의,장식,triples_relation
새우,교육,triples_relation
새우,행사,triples_relation
거북,교육,triples_relation
거북,행사,triples_relation
가옥,행사,triples_relation
청절비,교육,triples_relation
청절비,행사,triples_relation
물고기,교육,triples_relation
물고기,행사,triples_relation
한자,장식,triples_relation
말,행사,triples_relation
천,교육,triples_relation
천,행사,triples_relation
하단 새와 오름,교육,triples_relation
하단 새와 오름,행사,triples_relation
석류,교육,triples_relation
홍화,교육,triples_relation
홍화,행사,triples_relation
청조,교육,triples_relation
효제,교육,triples_relation
효제,행사,triples_relation
가릉빈가,교육,triples_relation
가릉빈가,행사,triples_relation
후투티,교육,triples_relation
후투티,행사,triples_relation
덩굴,교육,triples_relation
덩굴,행사,triples_relation
장미,교육,triples_relation
제문자,교육,triples_relation
제문자,행사,triples_relation
예,교육,triples_relation
예,행사,triples_relation
충(忠),교육,triples_relation
충(忠),행사,triples_relation
오름과 잎사귀,교육,triples_relation
오름과 잎사귀,행사,triples_relation
별꽃문,교육,triples_relation
별꽃문,행사,triples_relation
기메,교육,triples_relation
기메,행사,triples_relation
치,행사,triples_relation
삼층 사당,그림,triples_relation
대나무,교육,triples_relation
달토끼,교육,triples_relation
달토끼,행사,triples_relation
봉황,교육,triples_relation
닭,교육,triples_relation
봉오리꽃,교육,triples_relation
봉오리꽃,행사,triples_relation
인,교육,triples_relation
인,행사,triples_relation
충,교육,triples_relation
충,행사,triples_relation
넝쿨,교육,triples_relation
넝쿨,행사,triples_relation
오동나무,교육,triples_relation
전통가옥,교육,triples_relation
전통가옥,행사,triples_relation
국화,교육,triples_relation
비둘기,교육,triples_relation
잎사귀,교육,triples_relation
잎사귀,행사,triples_relation
현무,장식,triples_relation
화병,교육,triples_relation
화병,행사,triples_relation
인면조,장식,triples_relation
소나무,교육,triples_relation
꽃과 잎,교육,triples_relation
꽃과 잎,행사,triples_relation
제기대,그림,triples_relation
문자도,교육,triples_relation
문자도,행사,triples_relation
손,교육,triples_relation
손,행사,triples_relation
위패,교육,triples_relation
위패,행사,triples_relation
송,장식,triples_relation
공작새,교육,triples_relation
쑥부쟁이,교육,triples_relation
쑥부쟁이,행사,triples_relation
꽃도상,장식,triples_relation
도요새,교육,triples_relation
도요새,행사,triples_relation
중앙 효자,교육,triples_relation
중앙 효자,행사,triples_relation
나뭇가지,교육,triples_relation
나뭇가지,행사,triples_relation
제비,교육,triples_relation
아래 문자,교육,triples_relation
아래 문자,행사,triples_relation
꽃문양,행사,triples_relation
복,장식,triples_relation
은일처사,행사,triples_relation
홍범구주거북,교육,triples_relation
홍범구주거북,행사,triples_relation
나비,교육,triples_relation
효,장식,triples_relation
복숭아나무,교육,triples_relation
복숭아나무,행사,triples_relation
오리,교육,triples_relation
제기,행사,triples_relation
꿩,교육,triples_relation
문자,장식,triples_relation
기메,그림,triples_relation
제,교육,triples_relation
제,행사,triples_relation
게,장식,triples_relation
식물문양,교육,triples_relation
식물문양,행사,triples_relation
달토끼,장식,triples_relation
복숭아,교육,triples_relation
복숭아,행사,triples_relation
홍화봉오리,교육,triples_relation
홍화봉오리,행사,triples_relation
신 문자,교육,triples_relation
신 문자,행사,triples_relation
수양버들,교육,triples_relation
만호,행사,triples_relation
연잎,교육,triples_relation
치 문자,교육,triples_relation
치 문자,행사,triples_relation
꽃 장식,교육,triples_relation
꽃 장식,행사,triples_relation
가릉빈가,장식,triples_relation
사각정자,교육,triples_relation
한자,교육,triples_relation
한자,행사,triples_relation
꿩 쌍,교육,triples_relation
꿩 쌍,행사,triples_relation
잎문양,교육,triples_relation
잎문양,행사,triples_relation
중앙 잉어와 새,장식,triples_relation
중앙 잉어와 새,행사,triples_relation
거문고,교육,triples_relation
거문고,행사,triples_relation
상,교육,triples_relation
상,행사,triples_relation
위문후,교육,triples_relation
위문후,행사,triples_relation
주전자,교육,triples_relation
주전자,행사,triples_relation
한자 효,교육,triples_relation
한자 효,행사,triples_relation
용 머리,교육,triples_relation
용 머리,행사,triples_relation
신선,장식,triples_relation
신선,행사,triples_relation
매,교육,triples_relation
인면조,교육,triples_relation
인면조,행사,triples_relation
월계화,교육,triples_relation
조류,행사,triples_relation
누각,행사,triples_relation
물고기,장식,triples_relation
작은 새,교육,triples_relation
도미,교육,triples_relation
도미,행사,triples_relation
어변성룡,장식,triples_relation
죽순,교육,triples_relation
죽순,행사,triples_relation
백로,교육,triples_relation
전통가옥,장식,triples_relation
살구꽃,장식,triples_relation
딱따구리,교육,triples_relation
나무,교육,triples_relation
나무,행사,triples_relation
고팡상,교육,triples_relation
고팡상,행사,triples_relation
비파,장식,triples_relation
파초선,교육,triples_relation
파초선,행사,triples_relation
충,장식,triples_relation
새 문자,교육,triples_relation
새 문자,행사,triples_relation
제자,교육,triples_relation
제자,행사,triples_relation
홍범구주 거북,행사,triples_relation
충자,교육,triples_relation
충자,행사,triples_relation
물고기,그림,triples_relation
책갑,장식,triples_relation
치 글자,교육,triples_relation
치 글자,행사,triples_relation
무궁화,교육,triples_relation
효 문자,교육,triples_relation
효 문자,행사,triples_relation
의 문자,교육,triples_relation
의 문자,행사,triples_relation
제 문자,교육,triples_relation
제 문자,행사,triples_relation
염자,교육,triples_relation
염자,행사,triples_relation
살구꽃,교육,triples_relation
살구꽃,행사,triples_relation
사슴,교육,triples_relation
홍화,그림,triples_relation
효제 문자,교육,triples_relation
효제 문자,행사,triples_relation
계승,교육,triples_relation
계승,행사,triples_relation
인물상,교육,triples_relation
인물상,행사,triples_relation
장식띠,교육,triples_relation
장식띠,행사,triples_relation
해태,교육,triples_relation
해태,행사,triples_relation
꽃문양,교육,triples_relation
비익조,교육,triples_relation
효 글자,교육,triples_relation
효 글자,행사,triples_relation
유자나무,교육,triples_relation
유자나무,행사,triples_relation
자귀나무,행사,triples_relation
구름문양,교육,triples_relation
구름문양,행사,triples_relation
효행,장식,triples_relation
효자,행사,triples_relation
꽃장식,장식,triples_relation
꽃장식,행사,triples_relation
지,교육,triples_relation
지,행사,triples_relation
조개,교육,triples_relation
조개,행사,triples_relation
제(悌),교육,triples_relation
제(悌),행사,triples_relation
신(信),행사,triples_relation
연못,교육,triples_relation
연못,행사,triples_relation
치문자,교육,triples_relation
치문자,행사,triples_relation
돌,교육,triples_relation
돌,행사,triples_relation
한자 의,교육,triples_relation
한자 의,행사,triples_relation
해,교육,triples_relation
복사꽃,교육,triples_relation
의 문자 염치,교육,triples_relation
의 문자 염치,행사,triples_relation
도자기,장식,triples_relation
꽃병,장식,triples_relation
원앙,교육,triples_relation
화훼,교육,triples_relation
화훼,행사,triples_relation
매화가지,장식,triples_relation
물총새,교육,triples_relation
풀,교육,triples_relation
풀,행사,triples_relation
염 문자,교육,triples_relation
염 문자,행사,triples_relation
충심,교육,triples_relation
충심,행사,triples_relation
사당,그림,triples_relation
삼여도,교육,triples_relation
삼여도,행사,triples_relation
연분홍 원무늬,교육,triples_relation
연분홍 원무늬,행사,triples_relation
영산홍,교육,triples_relation
신과 별,교육,triples_relation
신과 별,행사,triples_relation
하단 물고기,교육,triples_relation
하단 물고기,행사,triples_relation
예' 자,교육,triples_relation
예' 자,행사,triples_relation
예(禮),교육,triples_relation
예(禮),행사,triples_relation
꽃봉오리,교육,triples_relation
꽃봉오리,행사,triples_relation
붉은 꽃,그림,triples_relation
청렴,장식,triples_relation
붉은 꽃,교육,triples_relation
식물,교육,triples_relation
식물,행사,triples_relation
염,장식,triples_relation
열매,교육,triples_relation
열매,행사,triples_relation
단풍나무,교육,triples_relation
신대(대나무),교육,triples_relation
신대(대나무),행사,triples_relation
술병,장식,triples_relation
진달래,교육,triples_relation
오동나무 가지,장식,triples_relation
돌비석,교육,triples_relation
돌비석,행사,triples_relation
도라지꽃,교육,triples_relation
도라지꽃,행사,triples_relation
도,교육,triples_relation
도,행사,triples_relation
쏘가리,장식,triples_relation
곰,장식,triples_relation
곰,행사,triples_relation
관념산수,장식,triples_relation
병어,장식,triples_relation
새우,장식,triples_relation
산봉우리,장식,triples_relation
산봉우리,행사,triples_relation
버드나무,장식,triples_relation
나룻배,장식,triples_relation
호렵,장식,triples_relation
보병,장식,triples_relation
관동팔경,장식,triples_relation
과거급제,장식,triples_relation
도미,장식,triples_relation
숭어,장식,triples_relation
다람쥐,장식,triples_relation
꽃나무,장식,triples_relation
꽃나무,행사,triples_relation
중앙 산수,장식,triples_relation
자라. 생명력,장식,triples_relation
사마귀,장식,triples_relation
산수경관,장식,triples_relation
산수,장식,triples_relation
충신,장식,triples_relation
삼여,장식,triples_relation
준치,장식,triples_relation
메기,장식,triples_relation
나리,행사,triples_relation
바위산,장식,triples_relation
복어,장식,triples_relation
개구리,장식,triples_relation
푸른 꽃,장식,triples_relation
푸른 꽃,행사,triples_relation
복문자,장식,triples_relation
다람쥐,행사,triples_relation
해태,장식,triples_relation
삽살개,장식,triples_relation
보병,행사,triples_relation
기암괴석,장식,triples_relation
자라,장식,triples_relation
메뚜기,장식,triples_relation
메뚜기,행사,triples_relation
날. 순수,장식,triples_relation
연어,장식,triples_relation
기린,장식,triples_relation
매미,장식,triples_relation
벚꽃,장식,triples_relation
벚꽃,행사,triples_relation
전어,장식,triples_relation
죽순,장식,triples_relation
원숭이,장식,triples_relation
원숭이,행사,triples_relation
옥잠화,장식,triples_relation
물고기 쌍,장식,triples_relation
고양이,장식,triples_relation
붓,장식,triples_relation
수양버들 장수,장식,triples_relation
소상팔경,장식,triples_relation
시의산수,장식,triples_relation
왕,장식,triples_relation
분홍 꽃,장식,triples_relation
시인,장식,triples_relation
인물,장식,triples_relation
학자,교육,triples_relation
학자,행사,triples_relation
인물,행사,triples_relation
고승,장식,triples_relation
백동자,장식,triples_relation
무사,행사,triples_relation
신격,장식,triples_relation
신격,행사,triples_relation
자연,장식,triples_relation
일산,장식,triples_relation
일산,행사,triples_relation
인물,그림,triples_relation
요임금,교육,triples_relation
요임금,행사,triples_relation
초가,그림,triples_relation
두 인물,장식,triples_relation
의례,장식,triples_relation
사대부,장식,triples_relation
시인,교육,triples_relation
시인,행사,triples_relation
삼국지 인물,장식,triples_relation
무속의상,장식,triples_relation
무속의상,행사,triples_relation
푸른 산,장식,triples_relation
사냥꾼,장식,triples_relation
동자,교육,triples_relation
동자,행사,triples_relation
농부,장식,triples_relation
무속신,장식,triples_relation
무속신,행사,triples_relation
기암괴석,교육,triples_relation
기암괴석,행사,triples_relation
무신,장식,triples_relation
무신,행사,triples_relation
사냥개,장식,triples_relation
마당,장식,triples_relation
기와지붕 구조물,장식,triples_relation
기와지붕 구조물,행사,triples_relation
노인,장식,triples_relation
충신,교육,triples_relation
충신,행사,triples_relation
번영,장식,triples_relation
농부,그림,triples_relation
주나라 문왕,교육,triples_relation
주나라 문왕,행사,triples_relation
암봉,장식,triples_relation
학자,장식,triples_relation
산수,행사,triples_relation
전통 건축,장식,triples_relation
소,그림,triples_relation
산,그림,triples_relation
아이,장식,triples_relation
남청색 봉우리,장식,triples_relation
상산사호,교육,triples_relation
상산사호,행사,triples_relation
목조다리,교육,triples_relation
목조다리,행사,triples_relation
노송,장식,triples_relation
가족,장식,triples_relation
사호,장식,triples_relation
백학,장식,triples_relation
집,장식,triples_relation
고목,장식,triples_relation
나뭇가지,장식,triples_relation
스님,장식,triples_relation
여우,장식,triples_relation
가족애,교육,triples_relation
가족애,장식,triples_relation
주요 사냥꾼,장식,triples_relation
기암절벽,장식,triples_relation
남청색 산,장식,triples_relation
전통 건물,교육,triples_relation
전통 건물,장식,triples_relation
공동체,장식,triples_relation
동자,장식,triples_relation
기와지붕,장식,triples_relation
기와지붕,행사,triples_relation
우산,장식,triples_relation
우산,행사,triples_relation
한옥,교육,triples_relation
한옥,장식,triples_relation
인물 군상,그림,triples_relation
사랑채,장식,triples_relation
달,장식,triples_relation
초가,장식,triples_relation
소년,장식,triples_relation
올바름,교육,triples_relation
올바름,장식,triples_relation
정원,교육,triples_relation
정원,장식,triples_relation
나무,장식,triples_relation
기마인,장식,triples_relation
논,그림,triples_relation
수선화,장식,triples_relation
필통,장식,triples_relation
주전자,장식,triples_relation
백자 항아리,장식,triples_relation
안경,장식,triples_relation
벼루,그림,triples_relation
방구부채,그림,triples_relation
조바위,장식,triples_relation
호피,장식,triples_relation
접부채,그림,triples_relation
가지,장식,triples_relation
수박,장식,triples_relation
향로,장식,triples_relation
어미 닭,장식,triples_relation
청화백자,장식,triples_relation
주합,장식,triples_relation
벼루,장식,triples_relation
사각 부채,그림,triples_relation
감,장식,triples_relation
술잔,장식,triples_relation
찻잔,그림,triples_relation
호박,장식,triples_relation
활과 화살,장식,triples_relation
파초,그림,triples_relation
호리병,장식,triples_relation
두루마리,장식,triples_relation
문방구,장식,triples_relation
붓통,장식,triples_relation
개구리 문양,장식,triples_relation
책,장식,triples_relation
산호,장식,triples_relation
토끼,그림,triples_relation
구름,장식,triples_relation
문갑,장식,triples_relation
완,장식,triples_relation
깃털부채,장식,triples_relation
불가사리,장식,triples_relation
어항,장식,triples_relation
공작깃털,장식,triples_relation
도자기형 통,장식,triples_relation
참외,장식,triples_relation
참외,그림,triples_relation
붓꽂이,장식,triples_relation
바둑판,장식,triples_relation
개완,장식,triples_relation
책갑,그림,triples_relation
깊은 청색 갓,장식,triples_relation
백자 호리병,장식,triples_relation
화병,장식,triples_relation
분홍색 필통,장식,triples_relation
멧돼지,장식,triples_relation
수승,장식,triples_relation
도자기 화병,장식,triples_relation
두루마리,그림,triples_relation
과일접시,장식,triples_relation
잉어 화병,장식,triples_relation
화분,장식,triples_relation
찻잔,장식,triples_relation
문루,장식,triples_relation
촛대,행사,triples_relation
성곽,그림,triples_relation
감,행사,triples_relation
사당,장식,triples_relation
석탑,장식,triples_relation
성곽,장식,triples_relation
수박,행사,triples_relation
군영,그림,triples_relation
선녀,행사,triples_relation
작약,세화,triples_relation
신선,세화,triples_relation
자형분재,세화,triples_relation
동자,세화,triples_relation
시녀,장식,triples_relation
분재,세화,triples_relation
해,세화,triples_relation
무희,장식,triples_relation
복숭아,세화,triples_relation
기암괴석,세화,triples_relation
서왕모,장식,triples_relation
소,세화,triples_relation
수성노인,세화,triples_relation
석류,세화,triples_relation
복숭아나무,장식,triples_relation
선녀,세화,triples_relation
괴목,장식,triples_relation
호랑이타는신선,세화,triples_relation
불수감,세화,triples_relation
오동나무,세화,triples_relation
유자,세화,triples_relation
어변성룡,세화,triples_relation
상단 인물,장식,triples_relation
파란 꽃그릇,장식,triples_relation
포도송이,장식,triples_relation
배추,장식,triples_relation
탁자,장식,triples_relation
고슴도치,장식,triples_relation
고슴도치,행사,triples_relation
파란 나비,장식,triples_relation
패랭이꽃,장식,triples_relation
검은 나비,장식,triples_relation
나비,그림,triples_relation
검은나비,장식,triples_relation
화려한 나비,장식,triples_relation
장미,그림,triples_relation
두꺼비,그림,triples_relation
무,장식,triples_relation
여뀌,장식,triples_relation
흰 나비,장식,triples_relation
증기선,장식,triples_relation
사찰,장식,triples_relation
금강산,장식,triples_relation
폭포,장식,triples_relation
초가집,장식,triples_relation
바위길,장식,triples_relation
산등성이,장식,triples_relation
초가,행사,triples_relation
돌탑,장식,triples_relation
암석,장식,triples_relation
강,행사,triples_relation
배,행사,triples_relation
집,행사,triples_relation
어부,장식,triples_relation
기암괴봉,장식,triples_relation
붉은 달,장식,triples_relation
억새,장식,triples_relation
봉우리,장식,triples_relation
마을,장식,triples_relation
산수풍경,장식,triples_relation
아치형 다리,장식,triples_relation
계곡,장식,triples_relation
송림,장식,triples_relation
달,행사,triples_relation
하단,장식,triples_relation
고목나무,행사,triples_relation
산맥,장식,triples_relation
낚시,장식,triples_relation
나룻배,행사,triples_relation
숲,장식,triples_relation
