file_name,subject_type,theme_type,painting_type,ground_material,purpose,objects,keywords,era
HH_0054,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상, 채색",광복이후
HH_0111,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 풍요, 장수, 영원",광복이후
HH_0003,화훼도,식물,일필+공필,수입지(양지),"장식, 행사","모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 강인함",광복이후
HH_0146,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 청렴, 생명력, 군자",조선후기
HH_0002,화훼도,식물,일필+공필,수입지(양지),"장식, 행사","괴석, 국화","한국전통민화, 화훼도, 괴석, 국화, 장수, 절개, 기개",광복이후
HH_0147,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 생명력, 순수함, 희망",조선후기
HH_0055,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상",광복이후
HH_0110,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 영원성",광복이후
HH_0043,화훼도,식물,일필+공필,수입지(양지),장식,대나무,"한국전통민화, 화훼도, 대나무, 절개, 청렴, 장수, 사군자",일제강점
HH_0106,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 풍요, 생명력, 안정",광복이후
HH_0014,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 강인함, 장수, 번영",미상
HH_0151,화훼도,식물,일필+공필,한지,장식,"매화, 괴석","한국전통민화, 화훼도, 매화, 괴석, 절개, 강인함, 생명력",조선후기
HH_0080,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 고결함, 장수, 사군자",미상
HH_0203,화훼도,식물,일필+공필,한지,"장식, 행사","괴석, 모란","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 강인함, 생명력",일제강점
HH_0192,화훼도,식물,공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 한지, 채색기법, 부귀영화, 번영, 길상",조선후기
HH_0038,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상, 번영",조선후기
HH_0184,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 번영, 장수",조선후기
HH_0096,화훼도,식물,공필,수입지(양지),장식,모란,"한국전통민화, 화훼도, 모란, 바위, 부귀영화, 풍요, 장식성",미상
HH_0079,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 청렴, 절개, 강인한 생명력, 희망",미상
HH_0059,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 강인함, 조선후기",조선후기
HH_0018,화훼도,식물,일필,한지,장식,"기암괴석, 모란","한국전통민화, 화훼도, 모란, 기암괴석, 부귀영화, 풍요, 변화, 길상",일제강점
HH_0126,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 고상함, 청렴, 군자",광복이후
HH_0063,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 장수, 풍요, 행복",조선후기
HH_0171,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 덕성",조선후기
HH_0034,화훼도,식물,일필,한지,장식,"괴석, 매화","한국전통민화, 화훼도, 괴석, 매화, 절개, 장수, 희망",광복이후
HH_0167,화훼도,식물,일필+공필,한지,장식,"모란, 파초, 괴석동물","한국전통민화, 화훼도, 모란, 괴석, 파초, 부귀영화, 장수, 생명력",광복이후
HH_0188,화훼도,식물,기타,견(비단),"장식, 행사",모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 길상, 풍요",일제강점
HH_0022,화훼도,식물,일필+공필,한지,"장식, 행사","모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 강인함, 길상",미상
HH_0130,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 장수, 청렴, 자연미",광복이후
HH_0091,화훼도,식물,공필,수입지(양지),장식,매화,"한국전통민화, 화훼도, 매화, 절개, 청렴, 생명력, 상서로움",미상
HH_0029,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 장수, 번영",광복이후
HH_0183,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 부귀영화, 생명력, 평안, 번영",조선후기
HH_0195,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영",조선후기
HH_0204,화훼도,동식물,공필,한지,장식,"국화, 벌","한국전통민화, 화훼도, 국화, 벌, 장수, 청렴, 고결, 근면, 번영",광복이후
HH_0087,화훼도,식물,일필,수입지(양지),"장식, 행사",수국,"한국전통민화, 화훼도, 수국, 다산, 풍요, 화합, 순결",미상
HH_0068,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 돼지","한국전통민화, 화훼도, 모란, 괴석, 돼지, 부귀영화, 다산, 풍요, 장수",조선후기
HH_0013,화훼도,식물,일필+공필,한지,장식,"대나무, 석류","한국전통민화, 화훼도, 대나무, 석류, 절개, 풍요, 번창, 다산",미상
HH_0156,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 영원함, 화려함",광복이후
HH_0044,화훼도,식물,일필+공필,수입지(양지),장식,파초,"한국전통민화, 화훼도, 파초, 생명력, 고결함, 청정함, 지조",일제강점
HH_0101,화훼도,식물,일필+공필,견(비단),장식,파초,"한국전통민화, 화훼도, 파초, 여름, 생명력, 번영, 벽사",광복이후
HH_0052,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 길상, 채색",광복이후
HH_0117,화훼도,식물,기타,한지,"장식, 행사",모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 생명력, 번영, 민중미학",일제강점
HH_0005,화훼도,동식물,일필+공필,한지,"장식, 행사","국화, 벌, 괴석","한국전통민화, 화훼도, 국화, 괴석, 벌, 절개, 강인함, 부지런함",미상
HH_0140,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 고결함, 희망, 수묵화",조선후기
HH_0137,화훼도,식물,일필,한지,장식,대나무,"한국전통민화, 화훼도, 대나무, 절개, 지조, 생명력, 한국채색화",일제강점
HH_0072,화훼도,식물,일필,한지,장식,"해, 소나무","한국전통민화, 화훼도, 소나무, 해, 장수, 생명력, 상생, 평안",광복이후
HH_0160,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 신비",미상
HH_0025,화훼도,식물,일필,수입지(양지),장식,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 길상",일제강점
HH_0176,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 견고함",조선후기
HH_0033,화훼도,식물,일필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 장수, 자연미",광복이후
HH_0121,화훼도,식물,공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 행복, 길상, 조형미",미상
HH_0064,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 호랑이","한국전통민화, 화훼도, 모란, 괴석, 호랑이, 부귀영화, 영속성, 재복, 벽사",조선후기
HH_0048,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 길상, 평안, 번영, 행복",광복이후
HH_0009,화훼도,식물,기타,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 청렴, 고결함, 장수",조선후기
HH_0008,화훼도,식물,기타,한지,장식,난초,"한국전통민화, 화훼도, 난초, 청렴, 고결함, 선비지조, 낙화기법",조선후기
HH_0049,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상, 번영",광복이후
HH_0120,화훼도,식물,공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상, 평안",미상
HH_0065,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 소","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영",조선후기
HH_0177,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 장식성, 민중의 염원",조선후기
HH_0032,화훼도,식물,일필+공필,한지,장식,"국화, 괴석","한국전통민화, 화훼도, 국화, 괴석, 절개, 인내, 생명력, 굳은 의지",광복이후
HH_0198,화훼도,식물,공필,수입지(양지),"장식, 행사","파초, 괴석거북, 괴석, 괴석동물","한국전통민화, 화훼도, 파초, 번창, 풍요, 바위, 견고함, 자연의 신비",일제강점
HH_0161,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 영속성, 장식미, 민속상징",미상
HH_0024,화훼도,식물,일필,수입지(양지),장식,국화,"한국전통민화, 화훼도, 국화, 절개, 장수, 생명력, 청렴",일제강점
HH_0136,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 고결함, 한지, 채색",일제강점
HH_0073,화훼도,동식물,일필+공필,한지,장식,"모란, 괴석, 난초","한국전통민화, 화훼도, 모란, 난초, 괴석, 부귀영화, 절개, 인내, 화목, 건강",광복이후
HH_0004,화훼도,식물,일필+공필,한지,"장식, 행사","괴석, 나리, 접시꽃","한국전통민화, 화훼도, 괴석, 나리, 접시꽃, 강인함, 순결, 번영, 장수",미상
HH_0141,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 지조, 강인함, 고결함, 생명력, 수묵화",조선후기
HH_0053,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 생명력, 길상",광복이후
HH_0116,화훼도,식물,기타,한지,"장식, 행사",국화,"한국전통민화, 화훼도, 국화, 한지, 장수, 절개, 청렴, 생명력",일제강점
HH_0045,화훼도,식물,일필+공필,수입지(양지),장식,매화,"한국전통민화, 화훼도, 매화, 절개, 순수, 역경극복, 희망",일제강점
HH_0100,화훼도,식물,공필,한지,장식,"붓꽃, 등나무, 부용","한국전통민화, 화훼도, 부용, 붓꽃, 등나무, 고결함, 지혜, 장수",광복이후
HH_0012,화훼도,식물,기타,한지,장식,소나무,"한국전통민화, 화훼도, 소나무, 낙화, 장수, 절개, 한지",조선후기
HH_0157,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 장수, 번영",광복이후
HH_0086,화훼도,식물,일필,수입지(양지),"장식, 행사",국화,"한국전통민화, 화훼도, 국화, 장수, 절개, 불로장생, 고귀함",미상
HH_0069,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 삽살개","한국전통민화, 화훼도, 모란, 괴석, 삽살개, 부귀영화, 장수, 수호, 번영",조선후기
HH_0194,화훼도,식물,일필,한지,장식,"괴석, 매화","한국전통민화, 화훼도, 괴석, 매화, 절개, 생명력, 영원성",조선후기
HH_0028,화훼도,식물,일필,수입지(양지),장식,대나무,"한국전통민화, 화훼도, 대나무, 절개, 고결함, 군자정신, 절의",일제강점
HH_0182,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 바위, 부귀영화, 번영, 안정감, 조선후기",조선후기
HH_0090,화훼도,식물,일필,수입지(양지),"장식, 행사",모란,"한국전통민화, 화훼도, 모란, 한지, 부귀영화, 번영, 화목, 전통채색",미상
HH_0142,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 지조, 인내, 희망, 절제미",조선후기
HH_0007,화훼도,식물,공필,수입지(양지),"행사, 장식",모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 길상, 행복, 번영",광복이후
HH_0115,화훼도,식물,기타,한지,"장식, 행사","대나무, 난초, 구름","한국전통민화, 화훼도, 대나무, 난초, 구름, 산, 절개, 청렴, 신비, 인내",광복이후
HH_0050,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 채색",광복이후
HH_0103,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 강인함, 장수",광복이후
HH_0046,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 채색, 한지, 부귀영화, 길상, 오방색",광복이후
HH_0154,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 절개",광복이후
HH_0011,화훼도,식물,기타,한지,장식,연꽃,"한국전통민화, 화훼도, 연꽃, 한지, 청정, 희망, 생명력",조선후기
HH_0085,화훼도,식물,기타,한지,장식,"소나무, 은일처사","한국전통민화, 화훼도, 소나무, 은일처사, 장수, 절개, 은둔, 강인함",일제강점
HH_0197,화훼도,식물,일필,한지,그림,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 장수, 행복, 자연",조선후기
HH_0178,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번창, 길상",조선후기
HH_0181,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 풍요, 생명력",조선후기
HH_0093,화훼도,식물,공필,수입지(양지),장식,모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 길상, 생명력",미상
HH_0139,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 고결함, 인내, 새로운 시작, 수묵화, 한지",조선후기
HH_0119,화훼도,식물,공필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 고귀함, 생명력, 다산, 우정",광복이후
HH_0158,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 영속성",광복이후
HH_0066,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 말","한국전통민화, 화훼도, 모란, 괴석, 동물, 부귀영화, 장수, 강인함, 길상",조선후기
HH_0089,화훼도,식물,일필,수입지(양지),"장식, 행사",작약,"한국전통민화, 화훼도, 작약, 부귀영화, 번영, 장식미, 건강",미상
HH_0123,화훼도,식물,일필,수입지(양지),그림,모란,"한국전통민화, 화훼도, 모란, 수묵, 부귀영화, 번영, 평안",조선후기
HH_0031,화훼도,식물,일필+공필,한지,장식,"괴석, 매화","한국전통민화, 화훼도, 괴석, 매화, 절개, 새로운 출발, 강인함, 풍요",광복이후
HH_0174,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 장수, 강인함",조선후기
HH_0027,화훼도,식물,일필,수입지(양지),장식,파초,"한국전통민화, 화훼도, 파초, 청렴, 절개, 평안, 장수, 자연미",일제강점
HH_0162,화훼도,식물,일필+공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 절개, 생명력, 번영",미상
HH_0070,화훼도,식물,일필+공필,한지,장식,"국화, 괴석","한국전통민화, 화훼도, 국화, 괴석, 벌, 장수, 절개, 고결함, 풍요, 근면함",미상
HH_0135,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 고결함, 인내, 희망",일제강점
HH_0071,화훼도,식물,일필,한지,장식,"달, 오동나무","한국전통민화, 화훼도, 오동나무, 달, 평안, 부귀, 조화",광복이후
HH_0134,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 강인함, 순결, 희망, 생명력",일제강점
HH_0026,화훼도,식물,일필,수입지(양지),장식,모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 풍요, 행복, 번창",일제강점
HH_0163,화훼도,식물,일필+공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 길상, 풍요, 다산",미상
HH_0030,화훼도,식물,일필+공필,한지,장식,"국화, 괴석","한국전통민화, 화훼도, 국화, 괴석, 절개, 장수, 강인함, 고결함",광복이후
HH_0175,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 길상",조선후기
HH_0067,화훼도,식물,일필+공필,견(비단),행사,"모란, 괴석동물, 토끼","한국전통민화, 화훼도, 모란, 괴석, 토끼, 부귀영화, 장수, 번영, 다산",조선후기
HH_0088,화훼도,식물,일필,수입지(양지),"장식, 행사",명자나무,"한국전통민화, 화훼도, 명자나무, 붉은꽃, 번창, 길상, 생명력, 평안",미상
HH_0122,화훼도,식물,일필+공필,견(비단),장식,"모란, 괴석동물","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 절개, 길상",미상
HH_0159,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 장수, 풍요",광복이후
HH_0118,화훼도,식물,공필,수입지(양지),장식,모란,"한국전통민화, 화훼도, 모란, 채색, 부귀영화, 길상",광복이후
HH_0092,화훼도,식물,공필,수입지(양지),장식,국화,"한국전통민화, 화훼도, 국화, 강인함, 절개, 장수, 고고함",미상
HH_0138,화훼도,식물,일필,한지,장식,난초,"한국전통민화, 화훼도, 난초, 절개, 고결함, 청초함, 군자",일제강점
HH_0180,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 소망",조선후기
HH_0196,화훼도,식물,일필+공필,한지,장식,연꽃,"한국전통민화, 화훼도, 연꽃, 청정함, 번영, 다산, 길상",광복이후
HH_0179,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 길상, 번영, 풍요",조선후기
HH_0084,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 괴석, 모란, 부귀영화, 번영, 견고함, 생명력",조선후기
HH_0155,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 행복",광복이후
HH_0010,화훼도,식물,기타,한지,장식,대나무,"한국전통민화, 화훼도, 대나무, 절개, 고고함, 생명력, 낙화기법",조선후기
HH_0102,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 장수, 화려함",광복이후
HH_0047,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 한지, 부귀영화, 행운, 복, 상서로움",광복이후
HH_0114,화훼도,식물,기타,한지,"장식, 행사","대나무, 난초","한국전통민화, 화훼도, 대나무, 난초, 절개, 청렴, 고결함, 안정감",광복이후
HH_0051,화훼도,식물,공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 채색기법, 한지, 부귀영화, 번영, 복기원",광복이후
HH_0143,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 수묵, 매화, 절개, 순수, 고결함, 강인한 생명력",조선후기
HH_0006,화훼도,식물,공필,수입지(양지),"행사, 장식",국화,"한국전통민화, 화훼도, 국화, 장수, 청렴, 강인함, 무병장수",광복이후
HH_0148,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 인내, 희망, 사군자",조선후기
HH_0109,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 평안",광복이후
HH_0060,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 풍요, 길상",조선후기
HH_0125,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 절개, 장수, 고결함, 사군자",광복이후
HH_0037,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 번영, 길상",조선후기
HH_0172,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 절개, 풍요, 장수",조선후기
HH_0021,화훼도,식물,일필,한지,장식,"기암괴석, 모란","한국전통민화, 화훼도, 모란, 기암괴석, 부귀영화, 장수, 소망, 전통색채",일제강점
HH_0164,화훼도,식물,일필+공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 길상, 행복, 염원",미상
HH_0076,화훼도,식물,일필+공필,수입지(양지),장식,"모란, 괴석인물","한국전통민화, 화훼도, 모란, 괴석, 쌍조, 부귀영화, 불변, 길상",일제강점
HH_0133,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 풍요, 길상, 조선후기",조선후기
HH_0099,화훼도,식물,공필,한지,장식,"도라지꽃, 부용, 등나무","한국전통민화, 화훼도, 등나무, 부용, 도라지꽃, 풍요, 청렴, 건강, 번영, 길상",광복이후
HH_0144,화훼도,식물,일필,한지,장식,매화,"한국전통민화, 화훼도, 매화, 절개, 고결함, 희망, 순수함",조선후기
HH_0001,화훼도,식물,공필,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀, 영화, 강인함, 장구한 번영",광복이후
HH_0113,화훼도,식물,기타,한지,"장식, 행사","매화, 난초","한국전통민화, 화훼도, 매화, 난초, 절개, 순결, 고결함, 청아함, 강인함",광복이후
HH_0056,화훼도,식물,공필,한지,장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 길상, 강인함, 조선후기",조선후기
HH_0105,화훼도,식물,기타,견(비단),행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 결실",광복이후
HH_0040,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀영화, 번영, 건강, 장수, 가문번성",조선후기
HH_0152,화훼도,식물,공필,견(비단),장식,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 장수, 번영, 화목",광복이후
HH_0017,화훼도,식물,일필,한지,장식,"연꽃, 기암괴석","한국전통민화, 화훼도, 연꽃, 괴석, 청정함, 강인함, 인내, 깨달음",일제강점
HH_0129,화훼도,식물,일필,한지,장식,국화,"한국전통민화, 화훼도, 국화, 나비, 절개, 장수, 풍요, 고결함",광복이후
HH_0083,화훼도,식물,일필+공필,한지,행사,모란,"한국전통민화, 화훼도, 모란, 부귀, 영화, 풍요, 생명력",조선후기
HH_0200,화훼도,식물,일필,한지,장식,"파초, 괴석, 괴석동물","한국전통민화, 화훼도, 파초, 괴석, 생명력, 번영, 견고함, 자연미",광복이후
HH_0191,화훼도,식물,공필,한지,장식,모란,"한국전통민화, 화훼도, 모란, 채색, 부귀영화, 길상, 민화기법",조선후기
HH_0187,화훼도,식물,공필,한지,장식,"괴석동물, 모란","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 번영, 장수, 길상",광복이후
HH_0168,화훼도,식물,공필,한지,장식,"연꽃, 연밥","한국전통민화, 화훼도, 연꽃, 연잎, 씨방, 청정, 다산, 순결, 깨달음, 불교",광복이후
HH_0095,화훼도,식물,공필,수입지(양지),장식,국화,"한국전통민화, 화훼도, 국화, 장수, 절개, 생명력, 건강",미상
HH_0094,화훼도,식물,공필,수입지(양지),장식,연꽃,"한국전통민화, 화훼도, 연꽃, 연잎, 순결함, 고귀함, 번영, 평화",미상
HH_0186,화훼도,식물,일필+공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 부귀영화, 길상문, 괴석, 장수",조선후기
HH_0169,화훼도,식물,공필,한지,행사,"모란, 괴석","한국전통민화, 화훼도, 모란, 괴석, 부귀영화, 영원성, 길상",조선후기
